1	221
2	90
3	74
4	203
5	233
6	228
7	528
8	258
9	428
10	443
11	590
12	620
13	1145
14	1326
15	1598
16	529
17	2076
18	2249
19	2116
20	2795
21	2853
22	2470
23	2989
24	2648
25	4480
26	4670
27	4821
28	3957
29	3780
30	3612
31	3491
32	4492
33	4401
34	3651
35	3815
36	1648
37	2107
38	2937
39	2477
40	2339
41	2886
42	2972
43	1941
44	880
45	1195
46	1615
47	1396
48	1996
49	1984
50	1363
51	675
52	1127
53	1189
54	355
55	809
56	486
57	-20
58	-528
59	-10
60	-851
61	-321
62	-680
63	256
64	-290
65	-608
66	-548
67	-3106
68	-608
69	-239
70	-525
71	-199
72	-1513
73	-6939
74	-1904
75	-1663
76	-3119
77	-1518
78	-836
79	-1222
80	-2809
81	-2017
82	-4370
83	-1883
84	-1836
85	-1798
86	-1424
87	-2377
88	-1792
89	-1638
90	-1570
91	-1158
92	-1294
93	-2358
94	-1976
95	-2980
96	-1811
97	-2484
98	-1594
99	-730
100	-1474
101	-596
102	-868
103	-1453
