1 	229
2	322
3	400
4	650
5	888
6	1128
7	1694
8	2036
9	2502
10	3089
11	3858
12	4636
13	5883
14	7375
15	9172
16	10149
17	12462
18	15113
19	17660
20	21157
21	24747
22	27980
23	31506
24	35713
25	41035
26	47021
27	53578
28 	59138
29	63927
30	69176
31	74386
32	80539
33 	86498
34	92472
35	97689
36	101739
37	105792
38	110574
39	115242
40	119827
41	124632
42	128948
43	132547
44	135586
45	139422
46	143626
47	147577
48	152271
49	156363
50	159516
51	162488
52	165155
53	168941
54	172434
55	175925	
56	178972
57	181228
58	183957
59	187327	
60	189973
61	192994
62	195351
63	197675
64	199414
65	201505
66	203591
67	205463
68	207428
69	209328
70	210717
71	211938
72	213013
73	214457
74	215858
75	217185
76	218268
77	219070
78	219814
79	221216
80	222104	
81	223096
82	223885
83	224760
84	225435
85	225886
86	226699
87	227364
88	228006
89	228658
90	229327
91	229858
92	230158
93	230555	
94	231139
95	231732
96	232248
97	232664
98	233019
99	233197
100	233515
101	233836
102	234013
103	234531
