1	7
2	3
3	2
4	5
5	4
6	8
7	5
8	18
9	27
10	28
11	41
12	49
13	36
14	133
15	97
16	168
17	196
18	189
19	250
20	175
21	368
22	349
23	345
24	475
25	427
26	627
27	793
28	651
29	601
30	743
31	683
32	712
33	919
34	889
35	756
36	812
37	837
38	727
39	760
40	766
41	681
42	525
43	636
44	604
45	542
46	610
47	570
48	619
49	431
50	566
51	602
52	578
53	525
54	575
55	482
56	433
57	454
58	534
59	437
60	464
61	420
62	415
63	260
64	333
65	382
66	323
67	285
68	269
69	474
70	174
71	195
72	236
73	369
74	274
75	243
76	194
77	165
78	179
79	172
80	195
81	262
82	242
83	153
84	145
85	99
86	162
87	161
88	156
89	130
90	119
91	50
92	92
93	78
94	117
95	70
96	87
97	111
98	75
99	60
100	55
101	71
102	88
103	85
