1	229
2	93
3	78
4	250
5	238
6	240
7	566
8	342
9	466
10	587
11	769
12	778
13	1247
14	1492
15	1797
16	977
17	2313
18	2651
19	2547
20	3497
21	3590
22	3233
23	3526
24	4207
25	5322
26	5986
27	6557
28	5560
29	4789
30	5249
31	5210
32	6153
33	5959
34	5974
35	5217
36	4050
37	4053
38	4782
39	4668
40	4585
41	4805
42	4316
43	3599
44	3039
45	3836
46	4204
47	3951
48	4694
49	4092
50	3153
51	2972
52	2667
53	3786
54	3493
55	3491
56	3047
57	2256
58	2729
59	3370
60	2646
61	3021
62	2357
63	2324
64	1739
65	2091
66	2086
67	1872
68	1965
69	1900
70	1389
71	1221
72	1075
73	1444
74	1401
75	1327
76	1083
77	802
78	744
79	1402
80	888
81	992
82	789
83	875
84	675
85	451
86	813
87	665
88	642
89	652
90	669
91	531
92	300
93	397
94	584
95	593
96	516
97	416
98	355
99	178
100	318
101	321
102	177
103	518
